behavior_event_type,behavior_name,behavior_page,behavior_module,low_active_user_count,high_active_user_count,low_active_total_count,high_active_total_count,low_active_stay_time,high_active_stay_time,high_active_avg_freq,low_active_avg_freq,freq_diff,signal_strength,signal_direction,match_field
点击,设备保养详情页-自行保养按钮,首页,保养台账,2.0,0.0,2,0,0.0,0.0,0.0,1.0,-1.0,1.0,low_active,click_name
点击,设备动态,我的,按钮点击,1.0,0.0,6,0,0.0,0.0,0.0,6.0,-6.0,6.0,low_active,click_name
点击,设备动态列表-搜索,,,1.0,0.0,1,0,0.0,0.0,0.0,1.0,-1.0,1.0,low_active,click_name
点击,设备动态列表-预警参数设置,,,1.0,0.0,1,0,0.0,0.0,0.0,1.0,-1.0,1.0,low_active,click_name
点击,设备分布筛选在线设备按钮,设备,设备分布,1.0,0.0,2,0,0.0,0.0,0.0,2.0,-2.0,2.0,low_active,click_name
点击,设备详情按钮,设备,设备分布,1.0,0.0,1,0,0.0,0.0,0.0,1.0,-1.0,1.0,low_active,click_name
点击,数据报表详情页-日报按钮,设备,挖掘机设备详情,1.0,0.0,1,0,0.0,0.0,0.0,1.0,-1.0,1.0,low_active,click_name
点击,数据报表详情页-日报日期确认按钮,,,1.0,0.0,3,0,0.0,0.0,0.0,3.0,-3.0,3.0,low_active,click_name
点击,数据报表详情页-日报日期选择展示按钮,,,1.0,0.0,3,0,0.0,0.0,0.0,3.0,-3.0,3.0,low_active,click_name
点击,数据报表详情页-月报按钮,设备,挖掘机设备详情,2.0,0.0,6,0,0.0,0.0,0.0,3.0,-3.0,3.0,low_active,click_name
点击,数据报表详情页-月报日期选择按钮,设备,挖掘机设备详情,1.0,0.0,2,0,0.0,0.0,0.0,2.0,-2.0,2.0,low_active,click_name
点击,搜索按钮,首页,搜索,1.0,0.0,2,0,0.0,0.0,0.0,2.0,-2.0,2.0,low_active,click_name
点击,搜索设备框,设备,设备分布,1.0,0.0,4,0,0.0,0.0,0.0,4.0,-4.0,4.0,low_active,click_name
点击,添加设备分组按钮,首页,设备分组,1.0,0.0,4,0,0.0,0.0,0.0,4.0,-4.0,4.0,low_active,click_name
点击,围栏地址按钮,,,1.0,0.0,1,0,0.0,0.0,0.0,1.0,-1.0,1.0,low_active,click_name
点击,未审核设备列表切换按钮,设备,设备列表,1.0,0.0,1,0,0.0,0.0,0.0,1.0,-1.0,1.0,low_active,click_name
点击,我要召请-暂存按钮,,,1.0,0.0,1,0,0.0,0.0,0.0,1.0,-1.0,1.0,low_active,click_name
点击,新的挖机设备预警详情页,首页,挖机设备预警,1.0,0.0,1,0,0.0,0.0,0.0,1.0,-1.0,1.0,low_active,click_name
点击,新建电子围栏按钮,首页,电子围栏,1.0,0.0,3,0,0.0,0.0,0.0,3.0,-3.0,3.0,low_active,click_name
点击,新闻按钮,首页,新闻,2.0,0.0,2,0,0.0,0.0,0.0,1.0,-1.0,1.0,low_active,click_name
点击,新增弹窗-电子围栏按钮首页,首页,按钮点击,1.0,0.0,5,0,0.0,0.0,0.0,5.0,-5.0,5.0,low_active,click_name
点击,新增弹窗-批量绑定按钮首页,首页,按钮点击,1.0,0.0,1,0,0.0,0.0,0.0,1.0,-1.0,1.0,low_active,click_name
点击,新增弹窗-设备分组按钮首页,首页,按钮点击,1.0,0.0,3,0,0.0,0.0,0.0,3.0,-3.0,3.0,low_active,click_name
点击,星星明细,活动,星星活动详情,1.0,0.0,1,0,0.0,0.0,0.0,1.0,-1.0,1.0,low_active,click_name
点击,在线设备列表切换按钮,设备,设备列表,2.0,0.0,24,0,0.0,0.0,0.0,12.0,-12.0,12.0,low_active,click_name
点击,主机交付,我的,按钮点击,1.0,0.0,2,0,0.0,0.0,0.0,2.0,-2.0,2.0,low_active,click_name
点击,自助服务按钮,设备,设备详情页,1.0,0.0,1,0,0.0,0.0,0.0,1.0,-1.0,1.0,low_active,click_name
浏览,首页,,,9.0,10.0,106,84,830.2,838.1,8.4,11.78,-3.38,3.38,low_active,page_name
浏览,设备列表页,设备,设备,8.0,8.0,83,40,655.8,456.9,5.0,10.38,-5.38,5.38,low_active,page_name
浏览,我的,,,7.0,3.0,57,8,188.0,49.8,2.67,8.14,-5.47,5.47,low_active,page_name
浏览,设备详情页,设备,设备详情页,3.0,4.0,46,8,491.6,209.2,2.0,15.33,-13.33,13.33,low_active,page_name
浏览,圈子推荐-首页,圈子,圈子首页,6.0,6.0,14,31,239.4,669.2,5.17,2.33,2.84,2.84,high_active,page_name
浏览,电子围栏列表页,首页,电子围栏,1.0,0.0,8,0,22.8,0.0,0.0,8.0,-8.0,8.0,low_active,page_name
浏览,服务召请页,设备,服务召请-小手图标,3.0,4.0,8,7,285.1,165.1,1.75,2.67,-0.92,0.92,low_active,page_name
浏览,设备分布列表页,设备,设备分布,1.0,0.0,7,0,91.0,0.0,0.0,7.0,-7.0,7.0,low_active,page_name
浏览,全球服务网络页面,首页,全球服务网络,1.0,1.0,6,3,42.0,3.0,3.0,6.0,-3.0,3.0,low_active,page_name
浏览,设备分组列表页,首页,设备分组,1.0,0.0,6,0,6.5,0.0,0.0,6.0,-6.0,6.0,low_active,page_name
浏览,新建电子围栏页,首页,电子围栏,1.0,0.0,6,0,46.0,0.0,0.0,6.0,-6.0,6.0,low_active,page_name
浏览,设备保养详情页,首页,保养台账,2.0,0.0,5,0,33.5,0.0,0.0,2.5,-2.5,2.5,low_active,page_name
浏览,轨迹页,设备,设备详情页,2.0,0.0,4,0,36.5,0.0,0.0,2.0,-2.0,2.0,low_active,page_name
浏览,国二油耗估算-数据展示,设备,设备详情页,2.0,1.0,4,2,10.7,4.4,2.0,2.0,0.0,0.5,neutral,page_name
浏览,星星活动详情,活动,星星活动详情,1.0,0.0,4,0,25.8,0.0,0.0,4.0,-4.0,4.0,low_active,page_name
浏览,保养台账列表页,首页,保养台账,2.0,0.0,3,0,10.7,0.0,0.0,1.5,-1.5,1.5,low_active,page_name
浏览,报告问题页,设备,设备详情页,1.0,0.0,3,0,51.4,0.0,0.0,3.0,-3.0,3.0,low_active,page_name
浏览,产品详情页,首页,产品,2.0,0.0,3,0,126.6,0.0,0.0,1.5,-1.5,1.5,low_active,page_name
浏览,数据报表详情页,设备,挖掘机设备详情,2.0,0.0,3,0,62.1,0.0,0.0,1.5,-1.5,1.5,low_active,page_name
浏览,搜索页,首页,搜索,1.0,0.0,3,0,6.0,0.0,0.0,3.0,-3.0,3.0,low_active,page_name
浏览,产品组列表页,首页,产品,1.0,0.0,2,0,15.4,0.0,0.0,2.0,-2.0,2.0,low_active,page_name
浏览,产品组详情页,首页,产品,1.0,0.0,2,0,12.4,0.0,0.0,2.0,-2.0,2.0,low_active,page_name
浏览,商品详情页,,,1.0,0.0,2,0,13.6,0.0,0.0,2.0,-2.0,2.0,low_active,page_name
浏览,数据分析详情页,设备,挖掘机设备详情,1.0,1.0,2,2,8.1,6.7,2.0,2.0,0.0,0.5,neutral,page_name
浏览,自行保养详情页,首页,保养台账,2.0,0.0,2,0,2.6,0.0,0.0,1.0,-1.0,1.0,low_active,page_name
浏览,按物料查询页,首页,我要配件,1.0,0.0,1,0,12.4,0.0,0.0,1.0,-1.0,1.0,low_active,page_name
浏览,兑换记录页,,,1.0,0.0,1,0,5.4,0.0,0.0,1.0,-1.0,1.0,low_active,page_name
浏览,配件详情页,首页,我要配件,1.0,0.0,1,0,3.2,0.0,0.0,1.0,-1.0,1.0,low_active,page_name
浏览,批量设备绑定页面,,,1.0,0.0,1,0,17.1,0.0,0.0,1.0,-1.0,1.0,low_active,page_name
浏览,设备动态列表,,,1.0,0.0,1,0,1.4,0.0,0.0,1.0,-1.0,1.0,low_active,page_name
浏览,数据分析-操作行为分析详情页,设备,挖掘机设备详情,1.0,1.0,1,1,61.1,16.5,1.0,1.0,0.0,0.5,neutral,page_name
浏览,数据分析-能耗分析详情页,设备,挖掘机设备详情,1.0,1.0,1,1,15.5,16.7,1.0,1.0,0.0,0.5,neutral,page_name
浏览,预警参数设置页,,,1.0,0.0,1,0,1.8,0.0,0.0,1.0,-1.0,1.0,low_active,page_name
浏览,注册页,注册,注册功能,1.0,0.0,1,0,132.3,0.0,0.0,1.0,-1.0,1.0,low_active,page_name
浏览,登录页,登录,登录功能,0.0,1.0,0,3,0.0,97.6,3.0,0.0,3.0,3.0,high_active,page_name
浏览,二手机宣传落地页-详情页,,,0.0,1.0,0,2,0.0,17.6,2.0,0.0,2.0,2.0,high_active,page_name
浏览,服务工单页,首页,我要召请,0.0,2.0,0,9,0.0,111.9,4.5,0.0,4.5,4.5,high_active,page_name
浏览,扫一扫页面,首页,扫一扫,0.0,1.0,0,1,0.0,23.4,1.0,0.0,1.0,1.0,high_active,page_name
浏览,设备开机动态页,首页,设备开机动态,0.0,1.0,0,1,0.0,16.6,1.0,0.0,1.0,1.0,high_active,page_name
浏览,一号多账号弹窗,首页,一号多账号复制独立账号,0.0,1.0,0,2,0.0,6.0,2.0,0.0,2.0,2.0,high_active,page_name
