user_id,activity_label,is_high_active,source_sheet,persona_label,persona_reason,total_count,total_stay_time,avg_stay_per_count,page_concentration_top3,circle_ratio,device_ratio,my_ratio,service_ratio,bind_ratio,top_pages,top_clicks
85711,低活跃,0,低活用户明细,探索受阻型,行为很多但核心转化弱，更多停留在详情/我的/设备探索链路。,638.0,897.5,1.41,0.65,0.0,0.47,0.15,0.02,0.02,设备列表页:82 | 首页:72 | 我的:48,底部设备按钮:48 | 在线设备列表切换按钮:22 | 全部设备列表切换按钮:9
85590,低活跃,0,低活用户明细,探索受阻型,行为很多但核心转化弱，更多停留在详情/我的/设备探索链路。,349.0,836.0,2.4,0.61,0.02,0.48,0.06,0.0,0.03,设备详情页:44 | 首页:15 | 设备列表页:15,操作行为分析详情页-切换日期按钮:9 | 设备≤10台时-设备开机动态-设备详情页:5 | 底部设备按钮:4
85985,低活跃,0,低活用户明细,探索受阻型,行为很多但核心转化弱，更多停留在详情/我的/设备探索链路。,174.0,259.3,1.49,0.68,0.0,0.23,0.21,0.02,0.0,首页:25 | 我的:17 | 设备列表页:13,底部设备按钮:8 | 主机交付:2 | 在线设备列表切换按钮:2
85437,低活跃,0,低活用户明细,服务推进型,服务召请、工单、服务相关页面占比较高，目标明确。,179.0,343.1,1.92,0.73,0.0,0.39,0.04,0.24,0.16,首页:21 | 设备列表页:11 | 服务召请页:5,底部设备按钮:6 | 我要召请按钮0331:5 | 我要召请-选择设备按钮:4
86071,低活跃,0,低活用户明细,服务推进型,服务召请、工单、服务相关页面占比较高，目标明确。,120.0,355.6,2.96,0.73,0.0,0.58,0.0,0.23,0.33,设备列表页:12 | 首页:5 | 我要召请-选择设备按钮:2,我要召请-选择设备按钮:2 | 我要召请按钮0331:2 | 底部设备按钮:2
85396,低活跃,0,低活用户明细,服务推进型,服务召请、工单、服务相关页面占比较高，目标明确。,110.0,508.7,4.62,0.8,0.11,0.31,0.03,0.17,0.24,首页:17 | 设备列表页:7 | 圈子推荐-首页:4,底部设备按钮:4 | 我要召请-选择设备按钮:3 | 我要召请按钮0331:3
86228,低活跃,0,低活用户明细,社区浏览型,圈子相关页面占比明显，偏内容/社区浏览。,46.0,85.1,1.85,0.78,0.17,0.22,0.11,0.0,0.5,首页:8 | 圈子推荐-首页:3 | 设备列表页:3,底部设备按钮:3 | 批量绑定页面-确认绑定按钮:1 | 新增弹窗-批量绑定按钮首页:1
85860,低活跃,0,低活用户明细,社区浏览型,圈子相关页面占比明显，偏内容/社区浏览。,42.0,107.5,2.56,1.0,0.22,0.0,0.0,0.0,0.67,首页:7 | 圈子推荐-首页:2,新增弹窗-极速绑定按钮首页:1 | 虚拟挖机弹窗引导-绑定真实设备:1 | 产品中心按钮0331:1
85325,低活跃,0,低活用户明细,社区浏览型,圈子相关页面占比明显，偏内容/社区浏览。,32.0,121.3,3.79,1.0,0.14,0.0,0.0,0.0,0.33,首页:6 | 圈子推荐-首页:1,我要召请按钮0331:1 | 虚拟挖机弹窗引导-绑定真实设备:1 | 新闻按钮:1
86411,低活跃,0,低活用户明细,轻度尝鲜型,行为量较轻或入口分散，更像在试用产品和浅层浏览。,30.0,49.9,1.66,0.91,0.09,0.36,0.09,0.0,0.0,首页:5 | 设备列表页:4 | 圈子推荐-首页:1,底部设备按钮:4
